step,epoch,loss
1,1,1.047384
2,1,1.041549
3,1,1.033462
4,1,1.031312
5,1,1.024223
6,1,1.017468
7,1,1.010240
8,1,0.998512
9,1,0.990224
10,1,0.975904
11,1,0.964570
12,1,0.954096
13,1,0.937249
14,1,0.926048
15,1,0.917240
16,1,0.903335
17,1,0.887531
18,1,0.877108
19,1,0.862963
20,1,0.857921
21,1,0.832369
22,1,0.826229
23,1,0.811048
24,1,0.786473
25,1,0.767109
26,1,0.764467
27,1,0.737861
28,1,0.731148
29,1,0.727954
30,1,0.688526
31,1,0.693143
32,1,0.666140
33,1,0.638513
34,1,0.652166
35,1,0.610658
36,1,0.577892
37,1,0.592395
38,1,0.591359
39,1,0.552846
40,1,0.511689
41,1,0.510896
42,1,0.487206
43,1,0.506262
44,1,0.473164
45,1,0.423843
46,1,0.448403
47,1,0.400295
48,1,0.399214
49,1,0.359494
50,1,0.399718
51,1,0.376981
52,1,0.330653
53,1,0.345952
54,1,0.346725
55,1,0.319347
56,1,0.323455
57,1,0.306453
58,1,0.291681
59,1,0.276907
60,1,0.302882
61,1,0.260223
62,1,0.265895
63,1,0.295574
64,1,0.258412
65,1,0.286569
66,1,0.231548
67,1,0.231771
68,1,0.239956
69,1,0.241025
70,1,0.222237
71,1,0.210729
72,1,0.220755
73,1,0.224238
74,1,0.244653
75,1,0.207991
76,1,0.218580
77,1,0.209479
78,1,0.222276
79,1,0.214443
80,1,0.220553
81,1,0.192122
82,1,0.211950
83,1,0.241607
84,1,0.182533
85,1,0.217767
86,1,0.213696
87,1,0.197591
88,1,0.199202
89,1,0.191007
90,1,0.191001
91,1,0.209715
92,1,0.186544
93,1,0.203703
94,1,0.200970
95,1,0.210894
96,1,0.203660
97,1,0.196402
98,1,0.172425
99,1,0.204194
100,1,0.166582
101,1,0.154410
102,1,0.170118
103,1,0.175734
104,1,0.179534
105,1,0.178666
106,1,0.160969
107,1,0.169807
108,1,0.195721
109,1,0.148719
110,1,0.164425
111,1,0.176190
112,1,0.174304
113,1,0.165053
114,1,0.169997
115,1,0.171073
116,1,0.179504
117,1,0.128995
118,1,0.198289
119,1,0.166046
120,1,0.166832
121,1,0.164226
122,1,0.133743
123,1,0.156747
124,1,0.166702
125,1,0.145891
126,1,0.127170
127,1,0.169538
128,1,0.183834
129,1,0.143287
130,1,0.141059
131,1,0.156646
132,1,0.137490
133,1,0.123377
134,1,0.151551
135,1,0.142142
136,1,0.128766
137,1,0.115650
138,1,0.136720
139,1,0.150551
140,1,0.134369
141,1,0.145369
142,1,0.162109
143,1,0.155331
144,1,0.125814
145,1,0.176595
146,1,0.133702
147,1,0.150274
148,1,0.121731
149,1,0.162114
150,1,0.142945
151,1,0.141838
152,1,0.115623
153,1,0.151264
154,1,0.123278
155,1,0.149881
156,1,0.127428
157,1,0.121531
158,1,0.132421
159,1,0.114928
160,1,0.120675
161,1,0.120852
162,1,0.130984
163,1,0.141911
164,1,0.114797
165,1,0.155406
166,1,0.135676
167,1,0.140663
168,1,0.155407
169,1,0.128292
170,1,0.155354
171,1,0.132490
172,1,0.119030
173,1,0.120302
174,1,0.122782
175,1,0.124781
176,1,0.135108
177,1,0.136998
178,1,0.130447
179,1,0.108244
180,1,0.101546
181,1,0.141148
182,1,0.106238
183,1,0.125175
184,1,0.113954
185,1,0.121431
186,1,0.100768
187,1,0.123215
188,1,0.112411
189,1,0.107800
190,1,0.111506
191,1,0.100466
